size,mflop
31,2974.89
32,3125.41
96,3139.67
97,2942.73
127,2998.85
128,3040.4
129,3035.27
191,3143.52
192,3057.58
229,3059.86
255,3066.88
256,2934.65
257,2984.23
319,3061.07
320,3063.01
321,3048.04
417,3070.34
479,3175.22
480,3092.81
511,3033.56
512,2059.27
639,2987.57
640,2914.89
767,3013.57
768,2903.95
769,3014.89
1023,2927.27
1024,1978.3
1025,2945.63
1525,2871.36
1526,2882.38
1527,2881.29
