size,mflop
31,520.818
32,547.939
96,1853.34
97,1851.28
127,1852.32
128,1874.57
129,1814.15
191,1974.07
192,1994.95
229,1925.11
255,1891.04
256,1900.11
257,1877
319,1954.11
320,1961.36
321,1945.96
417,1954.13
479,1915.65
480,1918.99
511,1909.43
512,1892.59
639,1898.47
640,1905.57
767,1902.88
768,1907.93
769,1886.71
1023,1899.2
1024,1903.87
1025,1900.27
1525,1910.28
1526,1907.45
1527,1911.47
