size,mflop
31,543.273
32,597.162
96,9089.6
97,10364.1
127,16518
128,18179.1
129,14348.7
191,21211.2
192,21387
229,23155.9
255,25479.4
256,25899.7
257,22106.5
319,24870.7
320,24624.2
321,24648.3
417,25475.6
479,26088.1
480,25799.3
511,25537
512,27226
639,25788.7
640,25939.6
767,25439.7
768,25484.5
769,24404.1
1023,25260
1024,24890.6
1025,24056.8
1525,24745.5
1526,25123.8
1527,25359.8
