size,mflop
31,12170.9
32,13999.3
96,16831.7
97,13878.9
127,16573.3
128,14037.9
129,11365.4
191,15450.6
192,15387.3
229,16262
255,16651.1
256,17790.8
257,15919.1
319,17116.9
320,16641.9
321,16716.5
417,16747.3
479,17040.7
480,17314.5
511,16703.4
512,17608.7
639,17300.7
640,17520.1
767,17528.2
768,17597.9
769,16906.8
1023,17198
1024,17381.2
1025,17131.1
1525,17134.1
1526,17483.2
1527,17806.5
