size,mflop
31,3778.42
32,3750.69
96,3741.98
97,3699.91
127,3749.37
128,3558.55
129,3704.22
191,3746.1
192,3685.1
229,3703.21
255,3638.74
256,3061.4
257,3563.73
319,3542.99
320,3535.04
321,3528.91
417,3299.57
479,3231.75
480,3508.61
511,3261.56
512,1991.3
639,3168.74
640,3302.49
767,2994.76
768,2872.43
769,2856.19
1023,2655.57
1024,1880.13
1025,2639.83
1525,2317.79
1526,2627.57
1527,2327.16
