size,mflop
31,3769.58
32,3739.75
96,3714.34
97,3677.47
127,3726.64
128,3557.36
129,3635.66
191,3622.29
192,3627.9
229,3646.47
255,3629.08
256,3015.07
257,3594.93
319,3461.21
320,3438.54
321,3475
417,2992.98
479,2918.82
480,3333.07
511,2958.49
512,1934.88
639,2384.38
640,2991.03
767,1972.74
768,2617.15
769,1865.15
1023,1851.49
1024,1761.26
1025,1969.52
1525,1570.14
1526,1561.88
1527,1613.17
