size,mflop
31,589.821
32,648.797
96,5588.39
97,5555.26
127,6447.87
128,6736.66
129,5259.6
191,7034.04
192,7119.27
229,7329.21
255,7350.22
256,7288.26
257,6455.28
319,7306.97
320,7327.33
321,7281.79
417,7323.87
479,7391.66
480,7395.92
511,7338.63
512,7410.25
639,7293.27
640,7352.11
767,7291.41
768,7307.57
769,6927.34
1023,7256.66
1024,7283.94
1025,7009.24
1525,7272.44
1526,7309.92
1527,7295.8
