size,mflop
31,5487.25
32,5799.89
96,20311.2
97,19261.7
127,24990.6
128,25444.2
129,19865
191,23376.2
192,27268.9
229,26639.6
255,27880.2
256,29602.7
257,24826.1
319,27416.3
320,27426.1
321,25108.6
417,26648.8
479,28151.7
480,26617.5
511,28148.1
512,28508
639,27448
640,27393
767,27084.9
768,27859.8
769,25899.2
1023,24234.7
1024,25859.4
1025,23551.5
1525,21477.9
1526,22276.6
1527,22178.1
