size,mflop
31,3121.17
32,3036.28
96,2257.55
97,2257.57
127,2072.09
128,2029.96
129,2062.57
191,1882.61
192,1860.01
229,1804.01
255,1763.31
256,1684.73
257,1770.74
319,1737.65
320,1688.7
321,1739.93
417,1628.37
479,1609.57
480,1630.47
511,1618.03
512,566.908
639,1624.6
640,1633.69
767,1621.93
768,662.145
769,1623.22
1023,1598.11
1024,574.166
1025,1608.55
1525,631.012
1526,648.437
1527,600.357
