size,mflop
31,4395.76
32,4566.61
96,4221.49
97,4118.33
127,4340.69
128,4528.16
129,4342.82
191,3971.72
192,4853.74
229,4558.06
255,4640.22
256,5006.72
257,4640.75
319,4649.8
320,5097.21
321,4644.38
417,4747.93
479,4897.5
480,5655.17
511,4645.75
512,5408.59
639,5022.69
640,5514.96
767,4619.24
768,4819.43
769,4908.28
1023,4478
1024,4975.83
1025,4659.8
1525,3353.83
1526,3738.06
1527,3407.66
