size,mflop
31,10481.4
32,11354.7
96,13361.7
97,11100.1
127,13299.7
128,13569
129,11795.1
191,12980.2
192,13581
229,12899.5
255,13539.4
256,13545.2
257,12811.9
319,13236.6
320,13250.5
321,12422
417,11675.5
479,12823.1
480,12862.8
511,12915.7
512,12791.2
639,12743.7
640,12715.3
767,12359.7
768,12509
769,12447.2
1023,11775.7
1024,11800.2
1025,11771.8
1525,10004
1526,10002.3
1527,10070.8
